provincia,anio,denuncias,victimas,ordenes_proteccion,quebrantamientos,poblacion_total,poblacion_mujeres,renta_media_hogar,renta_media_persona,tasa_actividad_total,tasa_actividad_hombres,tasa_actividad_mujeres,tasa_empleo_total,tasa_empleo_hombres,tasa_empleo_mujeres,tasa_paro_total,tasa_paro_hombres,tasa_paro_mujeres
ALBACETE,2022,923.0,923.0,330.0,122.0,385967.0,192731.0,,,,,,,,,,,
ALICANTE,2022,12394.0,12345.0,3075.0,1799.0,1907494.0,962380.0,,,,,,,,,,,
ALMERIA,2022,2885.0,2866.0,828.0,419.0,739541.0,361216.0,,,,,,,,,,,
ASTURIAS,2022,1975.0,1790.0,624.0,356.0,1004960.0,525302.0,,,,,,,,,,,
AVILA,2022,426.0,426.0,106.0,48.0,159102.0,79042.0,,,,,,,,,,,
BADAJOZ,2022,2233.0,2215.0,636.0,205.0,667851.0,337673.0,,,,,,,,,,,
BARCELONA,2022,11821.0,11538.0,3133.0,1408.0,5699602.0,2915904.0,,,,,,,,,,,
BIZKAIA,2022,3682.0,3682.0,695.0,204.0,1148677.0,593929.0,,,,,,,,,,,
BURGOS,2022,890.0,890.0,264.0,73.0,354846.0,177337.0,,,,,,,,,,,
CACERES,2022,738.0,738.0,207.0,168.0,388957.0,195880.0,,,,,,,,,,,
CADIZ,2022,5625.0,5247.0,1212.0,1540.0,1250545.0,633898.0,,,,,,,,,,,
CANTABRIA,2022,497.0,497.0,145.0,47.0,585450.0,301389.0,,,,,,,,,,,
CASTELLON,2022,1344.0,1244.0,222.0,579.0,591300.0,297684.0,,,,,,,,,,,
CEUTA,2022,250.0,250.0,92.0,5.0,83051.0,41143.0,,,,,,,,,,,
CIUDAD REAL,2022,911.0,911.0,247.0,119.0,490950.0,247676.0,,,,,,,,,,,
CORDOBA,2022,2515.0,2515.0,347.0,174.0,775110.0,395543.0,,,,,,,,,,,
CUENCA,2022,489.0,489.0,182.0,9.0,196640.0,97805.0,,,,,,,,,,,
GIPUZKOA,2022,1566.0,1543.0,281.0,198.0,723241.0,369908.0,,,,,,,,,,,
GIRONA,2022,2225.0,2225.0,493.0,275.0,790432.0,394174.0,,,,,,,,,,,
GRANADA,2022,5112.0,4773.0,1141.0,680.0,926019.0,469185.0,,,,,,,,,,,
GUADALAJARA,2022,910.0,908.0,160.0,315.0,268412.0,132284.0,,,,,,,,,,,
HUELVA,2022,2458.0,2458.0,487.0,80.0,531094.0,267696.0,,,,,,,,,,,
HUESCA,2022,464.0,462.0,197.0,48.0,225199.0,110911.0,,,,,,,,,,,
ILLES BALEARS,2022,3051.0,2567.0,679.0,288.0,1187043.0,594943.0,,,,,,,,,,,
JAEN,2022,1932.0,1916.0,470.0,173.0,624191.0,314842.0,,,,,,,,,,,
LA RIOJA,2022,893.0,869.0,326.0,41.0,319617.0,161742.0,,,,,,,,,,,
LAS PALMAS,2022,4056.0,4048.0,657.0,272.0,1133733.0,569970.0,,,,,,,,,,,
LEON,2022,721.0,721.0,158.0,117.0,449270.0,230840.0,,,,,,,,,,,
LLEIDA,2022,1549.0,1549.0,308.0,82.0,440883.0,215778.0,,,,,,,,,,,
LUGO,2022,554.0,552.0,150.0,101.0,324240.0,167083.0,,,,,,,,,,,
MADRID,2022,26276.0,25173.0,5280.0,2946.0,6743254.0,3514127.0,,,,,,,,,,,
MALAGA,2022,11676.0,11635.0,1560.0,1229.0,1715109.0,875071.0,,,,,,,,,,,
MELILLA,2022,358.0,358.0,84.0,23.0,84932.0,41954.0,,,,,,,,,,,
MURCIA,2022,6740.0,6740.0,1338.0,730.0,1529658.0,762541.0,,,,,,,,,,,
NAVARRA,2022,287.0,287.0,50.0,41.0,664514.0,335450.0,,,,,,,,,,,
OURENSE,2022,160.0,160.0,68.0,26.0,304223.0,158111.0,,,,,,,,,,,
PALENCIA,2022,31.0,31.0,22.0,0.0,157993.0,79677.0,,,,,,,,,,,
PONTEVEDRA,2022,685.0,685.0,193.0,69.0,945198.0,488582.0,,,,,,,,,,,
SALAMANCA,2022,49.0,49.0,28.0,6.0,326285.0,167798.0,,,,,,,,,,,
SANTA CRUZ DE TENERIFE,2022,3389.0,3379.0,701.0,305.0,1051874.0,535393.0,,,,,,,,,,,
SEGOVIA,2022,43.0,43.0,15.0,0.0,153731.0,76528.0,,,,,,,,,,,
SEVILLA,2022,2181.0,2169.0,542.0,289.0,1949558.0,997096.0,,,,,,,,,,,
SORIA,2022,38.0,38.0,27.0,0.0,88330.0,43576.0,,,,,,,,,,,
TARRAGONA,2022,1920.0,1920.0,485.0,171.0,830906.0,415794.0,,,,,,,,,,,
TERUEL,2022,153.0,153.0,55.0,12.0,134132.0,66012.0,,,,,,,,,,,
TOLEDO,2022,841.0,661.0,257.0,234.0,716309.0,356050.0,,,,,,,,,,,
VALENCIA,2022,3657.0,3483.0,918.0,423.0,2609322.0,1331328.0,,,,,,,,,,,
VALLADOLID,2022,265.0,221.0,117.0,72.0,518158.0,265860.0,,,,,,,,,,,
ZAMORA,2022,53.0,53.0,17.0,3.0,167868.0,84698.0,,,,,,,,,,,
ZARAGOZA,2022,333.0,316.0,122.0,38.0,968884.0,494481.0,,,,,,,,,,,
A CORUNA,2023,58.0,58.0,42.0,18.0,1123884.0,585361.0,,,,,,,,,,,
ALAVA,2023,89.0,89.0,16.0,5.0,336308.0,170708.0,,,,,,,,,,,
ALBACETE,2023,1051.0,1051.0,363.0,169.0,387529.0,193517.0,,,,,,,,,,,
ALICANTE,2023,14945.0,14908.0,3575.0,2248.0,1955268.0,988791.0,,,,,,,,,,,
ALMERIA,2023,2822.0,2663.0,838.0,357.0,753364.0,367668.0,,,,,,,,,,,
ASTURIAS,2023,2324.0,2324.0,642.0,385.0,1006060.0,526321.0,,,,,,,,,,,
AVILA,2023,520.0,520.0,120.0,97.0,159764.0,79454.0,,,,,,,,,,,
BADAJOZ,2023,3077.0,1914.0,586.0,401.0,666049.0,336931.0,,,,,,,,,,,
BARCELONA,2023,13103.0,12832.0,3259.0,1834.0,5797356.0,2967096.0,,,,,,,,,,,
BIZKAIA,2023,3846.0,3802.0,836.0,427.0,1153282.0,596136.0,,,,,,,,,,,
BURGOS,2023,1036.0,1036.0,336.0,78.0,357370.0,178778.0,,,,,,,,,,,
CACERES,2023,1300.0,1300.0,238.0,148.0,388257.0,195749.0,,,,,,,,,,,
CADIZ,2023,5507.0,5507.0,1082.0,1111.0,1254866.0,636575.0,,,,,,,,,,,
CANTABRIA,2023,561.0,525.0,153.0,69.0,588387.0,303254.0,,,,,,,,,,,
CASTELLON,2023,1529.0,1529.0,130.0,427.0,604086.0,304306.0,,,,,,,,,,,
CEUTA,2023,325.0,325.0,114.0,30.0,83052.0,41155.0,,,,,,,,,,,
CIUDAD REAL,2023,1129.0,1129.0,344.0,166.0,491927.0,248054.0,,,,,,,,,,,
CORDOBA,2023,2576.0,2540.0,375.0,104.0,775002.0,395763.0,,,,,,,,,,,
CUENCA,2023,495.0,495.0,186.0,39.0,198436.0,98502.0,,,,,,,,,,,
GIPUZKOA,2023,1698.0,1698.0,235.0,203.0,726712.0,371954.0,,,,,,,,,,,
GIRONA,2023,2536.0,2536.0,556.0,240.0,808672.0,403980.0,,,,,,,,,,,
